"SITE_ID","csspss_year","last_csspss_year","all_inventory_year","default_PFTs","new_PFTs","YEARA","YEARZ","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","UTC_OFFSET","MAT","MAP","SITE_SNOW_COVER_DAYS","CLIMATE_KOEPPEN","SURFACE_HOMOGENEITY","WIND_DIRECTION","ASPECT","TERRAIN","file_path","TYPE","IYEARA","IYEARZ","INCLUDE_THESE_PFT","csspss_file","parameter_file","METCYC1","METCYCF","simulation_id"
"BE-Bra",2020,2023,"2020_2023","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1999,2025,51.30761,4.51984,16,"ENF",1,10.5,920.7,NA,"Cfb",240,"SW","ESE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Bra_1999_2025.csv","S3",2020,2023,"1_2_3_4_5_6_7_8_9","spinup","site_year",NA,NA,"52"
"BE-Vie",2019,2025,"2019_2022_2025","6_8_10","1_2_3_4_5_6_7",1996,2025,50.304962,5.998099,490,"MF",1,8.2,915.6,NA,"Cfb",450,"SW","NW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Vie_1996_2025.csv","S3",2019,2025,"1_2_3_4_5_6_7","spinup","site_year",NA,NA,"53"
"CH-Dav",2018,2020,"2018_2020_2019","7_8","1_2_3",1997,2024,46.81533,9.85591,1637,"ENF",1,4.3,876,270,"Dfc",320,"NNE","NE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CH-Dav_1997_2024.csv","S3",2018,2020,"1_2_3","spinup","site_year",NA,NA,"54"
"CZ-BK1",2019,2023,"2019_2020_2023","7_8_9_10","1_2_3_4_5",2004,2025,49.50207615,18.53688247,881,"ENF",1,6.29,1338.12,NA,"Dfb",250,"SSW","S","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CZ-BK1_2004_2025.csv","S3",2019,2023,"1_2_3_4_5","spinup","site_year",NA,NA,"55"
"DE-HoH",2017,2024,"2017_2018_2021_2024","6_8_9_10","1_2_3_4_5_6_7",2015,2025,52.08656,11.22235,217,"DBF",1,9.1,563,NA,"Cfb",360,"WNW","ENE","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-HoH_2015_2025.csv","S3",2017,2024,"1_2_3_4_5_6_7","spinup","site_year",NA,NA,"56"
"DE-Tha",2018,2025,"2018_2019_2021_2023_2024_2025","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1996,2025,50.96256,13.56515,380,"ENF",1,8.1,829,68,"Cfb",385,"W","W","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-Tha_1996_2025.csv","S3",2018,2025,"1_2_3_4_5_6_7_8_9","spinup","site_year",NA,NA,"57"
"DK-Sor",2021,2023,"2021_2023","10","1_2",1996,2025,55.4858694,11.6446444,55,"DBF",1,9,640,23,"Cfb",400,"W","WSW","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DK-Sor_1996_2025.csv","S3",2021,2023,"1_2","spinup","site_year",NA,NA,"58"
"FI-Hyy",2017,2023,"2017_2018_2020_2023","6_7_8_9_10","1_2_3_4_5",1997,2025,61.84741,24.29477,181,"ENF",2,3.5,711,NA,"Dfc",150,"SSW","NE","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FI-Hyy_1997_2025.csv","S3",2017,2023,"1_2_3_4_5","spinup","site_year",NA,NA,"59"
"FR-FBn",2020,2020,"2020","7_11","1_2_3",2008,2025,43.24079,5.67865,436,"ENF",1,13.9,700,NA,"Cfa",350,"NW","SW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-FBn_2008_2025.csv","S3",2020,2020,"1_2_3","spinup","site_year",NA,NA,"60"
"FR-Fon",2020,2024,"2020_2024","6_9_10","1_2_3_4_5_6",2019,2025,48.476358,2.780096,103,"DBF",1,11.44,678.99,NA,"Cfb",310,"S","NW","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Fon_2019_2025.csv","S3",2020,2024,"1_2_3_4_5_6","spinup","site_year",NA,NA,"61"
"FR-Hes",2021,2021,"2021","9_10","1_2_3_4_5_6",1997,2025,48.6741,7.06465,310,"DBF",1,10,889,NA,"Cfb",400,"SW","N","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Hes_1997_2025.csv","S3",2021,2021,"1_2_3_4_5_6","spinup","site_year",NA,NA,"62"
"IT-SR2",2018,2022,"2018_2022","7_11","1_2_3",2013,2025,43.732022,10.29091,4,"ENF",1,15.3,950,NA,"Csa",480,"ESE","E","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/IT-SR2_2013_2025.csv","S3",2018,2022,"1_2_3","spinup","site_year",NA,NA,"63"
"NL-Loo",2023,2023,"2023","6_7_8_10","1_2_3_4",1997,2025,52.16644722,5.74355,33,"ENF",1,10.2,900,21.5,"Cfb",1000,"WSW","N","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/NL-Loo_1997_2025.csv","S3",2023,2023,"1_2_3_4","spinup","site_year",NA,NA,"64"
"NO-Hur",2023,2023,"2023","6_7_8_10","1_2_3_4",2023,2025,60.3716329214,11.0794898767,275.130807,"ENF",1,3.7,845,NA,NA,815,"SE","NE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/NO-Hur_2023_2025.csv","S3",2023,2023,"1_2_3_4","spinup","site_year",NA,NA,"65"
"SE-Htm",2019,2025,"2019_2022_2025","6_8_9_10","1_2_3_4",2018,2024,56.09763,13.41897,115,"ENF",1,7.4,707,NA,"Dfb",450,"W","W","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/SE-Htm_2018_2024.csv","S3",2019,2025,"1_2_3_4","spinup","site_year",NA,NA,"66"
"SE-Nor",2021,2022,"2021_2022","6_7_8","1_2_3",2018,2024,60.08649722,17.47950278,58,"ENF",1,6.5,586,NA,"Dfb",300,"WSW","NNW","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/SE-Nor_2018_2024.csv","S3",2021,2022,"1_2_3","spinup","site_year",NA,NA,"67"
"SE-Svb",2017,2023,"2017_2018_2023","6_7_8_9_10","1_2_3_4_5",2014,2024,64.25611,19.7745,267,"ENF",1,1.8,614,NA,"Dfc",800,"NW","SW","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/SE-Svb_2014_2024.csv","S3",2017,2023,"1_2_3_4_5","spinup","site_year",NA,NA,"68"
"BE-Bra",2020,2023,"2020_2023","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1999,2025,51.30761,4.51984,16,"ENF",1,10.5,920.7,NA,"Cfb",240,"SW","ESE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Bra_1999_2025.csv","S4",2020,2023,"1_2_3_4_5_6_7_8_9","csspss","default",NA,NA,"69"
"BE-Vie",2019,2025,"2019_2022_2025","6_8_10","1_2_3_4_5_6_7",1996,2025,50.304962,5.998099,490,"MF",1,8.2,915.6,NA,"Cfb",450,"SW","NW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Vie_1996_2025.csv","S4",2019,2025,"1_2_3_4_5_6_7","csspss","default",NA,NA,"70"
"CH-Dav",2018,2020,"2018_2020_2019","7_8","1_2_3",1997,2024,46.81533,9.85591,1637,"ENF",1,4.3,876,270,"Dfc",320,"NNE","NE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CH-Dav_1997_2024.csv","S4",2018,2020,"1_2_3","csspss","default",NA,NA,"71"
"CZ-BK1",2019,2023,"2019_2020_2023","7_8_9_10","1_2_3_4_5",2004,2025,49.50207615,18.53688247,881,"ENF",1,6.29,1338.12,NA,"Dfb",250,"SSW","S","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CZ-BK1_2004_2025.csv","S4",2019,2023,"1_2_3_4_5","csspss","default",NA,NA,"72"
"DE-HoH",2017,2024,"2017_2018_2021_2024","6_8_9_10","1_2_3_4_5_6_7",2015,2025,52.08656,11.22235,217,"DBF",1,9.1,563,NA,"Cfb",360,"WNW","ENE","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-HoH_2015_2025.csv","S4",2017,2024,"1_2_3_4_5_6_7","csspss","default",NA,NA,"73"
"DE-Tha",2018,2025,"2018_2019_2021_2023_2024_2025","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1996,2025,50.96256,13.56515,380,"ENF",1,8.1,829,68,"Cfb",385,"W","W","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-Tha_1996_2025.csv","S4",2018,2025,"1_2_3_4_5_6_7_8_9","csspss","default",NA,NA,"74"
"DK-Sor",2021,2023,"2021_2023","10","1_2",1996,2025,55.4858694,11.6446444,55,"DBF",1,9,640,23,"Cfb",400,"W","WSW","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DK-Sor_1996_2025.csv","S4",2021,2023,"1_2","csspss","default",NA,NA,"75"
"FI-Hyy",2017,2023,"2017_2018_2020_2023","6_7_8_9_10","1_2_3_4_5",1997,2025,61.84741,24.29477,181,"ENF",2,3.5,711,NA,"Dfc",150,"SSW","NE","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FI-Hyy_1997_2025.csv","S4",2017,2023,"1_2_3_4_5","csspss","default",NA,NA,"76"
"FR-FBn",2020,2020,"2020","7_11","1_2_3",2008,2025,43.24079,5.67865,436,"ENF",1,13.9,700,NA,"Cfa",350,"NW","SW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-FBn_2008_2025.csv","S4",2020,2020,"1_2_3","csspss","default",NA,NA,"77"
"FR-Fon",2020,2024,"2020_2024","6_9_10","1_2_3_4_5_6",2019,2025,48.476358,2.780096,103,"DBF",1,11.44,678.99,NA,"Cfb",310,"S","NW","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Fon_2019_2025.csv","S4",2020,2024,"1_2_3_4_5_6","csspss","default",NA,NA,"78"
"FR-Hes",2021,2021,"2021","9_10","1_2_3_4_5_6",1997,2025,48.6741,7.06465,310,"DBF",1,10,889,NA,"Cfb",400,"SW","N","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Hes_1997_2025.csv","S4",2021,2021,"1_2_3_4_5_6","csspss","default",NA,NA,"79"
"IT-SR2",2018,2022,"2018_2022","7_11","1_2_3",2013,2025,43.732022,10.29091,4,"ENF",1,15.3,950,NA,"Csa",480,"ESE","E","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/IT-SR2_2013_2025.csv","S4",2018,2022,"1_2_3","csspss","default",NA,NA,"80"
"NL-Loo",2023,2023,"2023","6_7_8_10","1_2_3_4",1997,2025,52.16644722,5.74355,33,"ENF",1,10.2,900,21.5,"Cfb",1000,"WSW","N","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/NL-Loo_1997_2025.csv","S4",2023,2023,"1_2_3_4","csspss","default",NA,NA,"81"
"NO-Hur",2023,2023,"2023","6_7_8_10","1_2_3_4",2023,2025,60.3716329214,11.0794898767,275.130807,"ENF",1,3.7,845,NA,NA,815,"SE","NE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/NO-Hur_2023_2025.csv","S4",2023,2023,"1_2_3_4","csspss","default",NA,NA,"82"
"SE-Htm",2019,2025,"2019_2022_2025","6_8_9_10","1_2_3_4",2018,2024,56.09763,13.41897,115,"ENF",1,7.4,707,NA,"Dfb",450,"W","W","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/SE-Htm_2018_2024.csv","S4",2019,2025,"1_2_3_4","csspss","default",NA,NA,"83"
"SE-Nor",2021,2022,"2021_2022","6_7_8","1_2_3",2018,2024,60.08649722,17.47950278,58,"ENF",1,6.5,586,NA,"Dfb",300,"WSW","NNW","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/SE-Nor_2018_2024.csv","S4",2021,2022,"1_2_3","csspss","default",NA,NA,"84"
"SE-Svb",2017,2023,"2017_2018_2023","6_7_8_9_10","1_2_3_4_5",2014,2024,64.25611,19.7745,267,"ENF",1,1.8,614,NA,"Dfc",800,"NW","SW","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/SE-Svb_2014_2024.csv","S4",2017,2023,"1_2_3_4_5","csspss","default",NA,NA,"85"
"BE-Bra",2020,2023,"2020_2023","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1999,2025,51.30761,4.51984,16,"ENF",1,10.5,920.7,NA,"Cfb",240,"SW","ESE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Bra_1999_2025.csv","S5",2020,2023,"1_2_3_4_5_6_7_8_9","csspss","site_mean",NA,NA,"86"
"BE-Vie",2019,2025,"2019_2022_2025","6_8_10","1_2_3_4_5_6_7",1996,2025,50.304962,5.998099,490,"MF",1,8.2,915.6,NA,"Cfb",450,"SW","NW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/BE-Vie_1996_2025.csv","S5",2019,2025,"1_2_3_4_5_6_7","csspss","site_mean",NA,NA,"87"
"CH-Dav",2018,2020,"2018_2020_2019","7_8","1_2_3",1997,2024,46.81533,9.85591,1637,"ENF",1,4.3,876,270,"Dfc",320,"NNE","NE","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CH-Dav_1997_2024.csv","S5",2018,2020,"1_2_3","csspss","site_mean",NA,NA,"88"
"CZ-BK1",2019,2023,"2019_2020_2023","7_8_9_10","1_2_3_4_5",2004,2025,49.50207615,18.53688247,881,"ENF",1,6.29,1338.12,NA,"Dfb",250,"SSW","S","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/CZ-BK1_2004_2025.csv","S5",2019,2023,"1_2_3_4_5","csspss","site_mean",NA,NA,"89"
"DE-HoH",2017,2024,"2017_2018_2021_2024","6_8_9_10","1_2_3_4_5_6_7",2015,2025,52.08656,11.22235,217,"DBF",1,9.1,563,NA,"Cfb",360,"WNW","ENE","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-HoH_2015_2025.csv","S5",2017,2024,"1_2_3_4_5_6_7","csspss","site_mean",NA,NA,"90"
"DE-Tha",2018,2025,"2018_2019_2021_2023_2024_2025","6_7_8_9_10","1_2_3_4_5_6_7_8_9",1996,2025,50.96256,13.56515,380,"ENF",1,8.1,829,68,"Cfb",385,"W","W","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DE-Tha_1996_2025.csv","S5",2018,2025,"1_2_3_4_5_6_7_8_9","csspss","site_mean",NA,NA,"91"
"DK-Sor",2021,2023,"2021_2023","10","1_2",1996,2025,55.4858694,11.6446444,55,"DBF",1,9,640,23,"Cfb",400,"W","WSW","Strong Slope (>10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/DK-Sor_1996_2025.csv","S5",2021,2023,"1_2","csspss","site_mean",NA,NA,"92"
"FI-Hyy",2017,2023,"2017_2018_2020_2023","6_7_8_9_10","1_2_3_4_5",1997,2025,61.84741,24.29477,181,"ENF",2,3.5,711,NA,"Dfc",150,"SSW","NE","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FI-Hyy_1997_2025.csv","S5",2017,2023,"1_2_3_4_5","csspss","site_mean",NA,NA,"93"
"FR-FBn",2020,2020,"2020","7_11","1_2_3",2008,2025,43.24079,5.67865,436,"ENF",1,13.9,700,NA,"Cfa",350,"NW","SW","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-FBn_2008_2025.csv","S5",2020,2020,"1_2_3","csspss","site_mean",NA,NA,"94"
"FR-Fon",2020,2024,"2020_2024","6_9_10","1_2_3_4_5_6",2019,2025,48.476358,2.780096,103,"DBF",1,11.44,678.99,NA,"Cfb",310,"S","NW","Medium Slope (>2 %, <5%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Fon_2019_2025.csv","S5",2020,2024,"1_2_3_4_5_6","csspss","site_mean",NA,NA,"95"
"FR-Hes",2021,2021,"2021","9_10","1_2_3_4_5_6",1997,2025,48.6741,7.06465,310,"DBF",1,10,889,NA,"Cfb",400,"SW","N","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/FR-Hes_1997_2025.csv","S5",2021,2021,"1_2_3_4_5_6","csspss","site_mean",NA,NA,"96"
"IT-SR2",2018,2022,"2018_2022","7_11","1_2_3",2013,2025,43.732022,10.29091,4,"ENF",1,15.3,950,NA,"Csa",480,"ESE","E","Flat","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/IT-SR2_2013_2025.csv","S5",2018,2022,"1_2_3","csspss","site_mean",NA,NA,"97"
"NL-Loo",2023,2023,"2023","6_7_8_10","1_2_3_4",1997,2025,52.16644722,5.74355,33,"ENF",1,10.2,900,21.5,"Cfb",1000,"WSW","N","Significant Slope (>5%, <10%)","/Volumes/ZHTC/Flux_sites/FLUXNET_HH_merged/NL-Loo_1997_2025.csv","S5",2023,2023,"1_2_3_4","csspss","site_mean",NA,NA,"98"
